No.,NCD,OLD CD,LAHD,R&P,CD RESVD,SURPLUS,APN,ADDRESS,LAND AREA,ACCESS,ZONING,STATUS,SOURCE OF FUNDS,"CLASS ""C"" ESTIMATES AS OF FEB. 2004","CLASS ""C"" ESTIMATES AS OF SEPT 2006",REMARKS
1,4,4,X,X,X,,5549018900,"1905 N. Highland Ave. Los Angeles, CA 90068",10267,Yes,[Q]R4-1VL,Vacant,Gas Tax,500000,,"Per R&P, hill lot near intersection of Highland and Franklin Ave. Per 5/21/08 email from CLA remove fr. Surplus until further notice from either CLA or CD4."
2,4,4,,X,,,5532001900,"6614 W. Fountain Ave. Los Angeles, CA 90038",5495,Yes,R3-1XL,Park/Garden,Gas Tax,275000,,"Per R&P, level lot SE corner of Franklin Ave./June St.; possibly developed as a pocket park.  LAHD released"
3,4,4,,X,,,5549019900,"1911 N. Hillcrest Rd. Los Angeles, CA 90028",14025,Yes,R2-1XL,Vacant - Trees,Gas Tax,600000,,Leased for Pinehurst Park - Members only 213-688- 6003
4,4,4,,,,S,2429022900,"6939 W. Valleyton Tr. Universal City, CA 90068",2166,Yes,R1-1,Tree cover,Tax Deed,2500,10000,Unacessable house all around no way to enter hillside
5,4,4,,,,S,5549024900,Camrose Dr./Paramount Dr.,1444,Yes,R2-1XL,Paved Road,Tax Deed,1500,50000,Enter at 6938 Camrose Dr.  LAHD released 08/06.
6,4,4,,,,S,5549024901,Camrose Dr./Paramount Dr.,7700,Yes,R2-1XL,Vacant,Gas Tax,250000,200000,LAHD released 08/06.
7,4,4,,,,S,5551032901,"1770 N. Seaview Tr. Los Angeles, CA 90046",4789,Yes,R1-1,Vacant,Tax Deed,241550,250000,
8,4,4,,,,S,5551032902,"1762 N. Seaview Tr. Los Angeles, CA 90046",6387,Yes,R1-1,Vacant,Tax Deed,65000,265000,
9,4,4,,,,S,5551032903,"1748 N. Seaview Tr. Los Angeles, CA 90046",5645,Yes,R1-1,Vacant,Tax Deed,285000,275000,
10,4,4,,,,S,5551032904,"1754 N. Seaview Tr. Los Angeles, CA 90046",5396,Yes,R1-1,Vacant,Tax Deed,270000,275000,
11,4,4,,,,S,5551032905,"1752 N. Seaview Tr. Los Angeles, CA 90046",5062,Yes,R1-1,Vacant,Tax Deed,255000,250000,
12,4,4,,,,S,5570007900,Mulholland Dr./Palo Vista Dr.,4442,Yes,R1-1,Vacant lot,Tax Deed,80000,250000,
13,4,4,,,,S,5577020900,"3008 N. Lakeridge Dr. Los Angeles, CA 90068",12231,Yes,RE15-1- H,Vacant lot,Tax Deed,350000,350000,
14,4,4,,,,S,5583021900,"3090 N. Hollyridge Dr. Los Angeles, CA 90068",6947,Yes,R1-1,Vacant lot,,2500,250000,
15,4,4,,,,S,5585003900,"2766 N. Pitcher Dr. Los Angeles, CA 90068",3594,Yes,R1-1,Vacant lot,Tax Deed,5000,30000,Unable to reach or get to
16,4,4,,,,,2427009901,7269-7277 Woodrow Wilson drive,,,,Single Family Res,,,,Settlement; prior approval for sale required for CA & government & Council
17,4,13,,,,S,5532008904,"6910 W. Fountain Ave. Los Angeles, CA 90038",4058,Yes,R3-1XL,Vacant,Gas Tax,250000,250000,LAHD released 8/06.
18,4,5,,,,S,2274010900,"3634 N. Knobhill Dr. Los Angeles, CA 91423",15655,Yes,RE15-1- H,Vacant lot ??  water res?,CA-Liability acc.,116000,100000,Vacant lot with cement drive and foundation;  litigation settled by City Attorney.  LAHD released 8/06.
19,4,5,,,,S,2274010901,"3650 N. Knobhill Dr. Los Angeles, CA 91423",15082,Yes,RE15-1- H,Vacant lot ??  water res?,CA-Liability acc.,117000,100000,litigation settled by City Attorney.  LAHD released 8/06.
20,4,5,,,,S,5555032900,"1635 Laurel Canyon Blvd. Los Angeles, CA 90046",6161,Yes,R1-1,Vacant,Order Cond.,50000,250000,250000
21,4,5,,,,S,5556001900,"1951 N. Laurel Canyon Blvd. Los Angeles, CA 90046",11984,Yes,R1-1,Vacant,Tax Deed,600000,300000,
22,4,5,,,,S,5556001901,Gould Ave./Padre Ln.,50366,Yes,R1-1,Vacant,Tax Deed,2625000,1000000,
23,4,5,,,,S,5556003900,"8242 W. Gould Ave. Los Angeles, CA 90046",4324,Yes,R1-1,Vacant - hillside,Gas Tax,90000,100000,
24,4,5,,,,S,5556003901,"8284 W. Gould Ave. Los Angeles, CA 90046",4609,Yes,R1-1,Vacant - hillside,Treasurer Deed,95000,100000,
